WaitTime,ClocksElapsed,ClockSpeedMHz
1,2499985790,2499.99
2,4999971568,2499.99
3,7499957270,2499.99
4,9999943072,2499.99
5,12499928772,2499.99
6,14999914518,2499.99
7,17499901034,2499.99
8,19999887508,2499.99
9,22499873460,2499.99
10,24999859382,2499.99
