R0:3233315.037737,0.041792,3233315.037783,3233315.079575
R1:3233315.221140,0.133472,3233315.221207,3233315.354680
R2:3233315.373979,0.018341,3233315.374042,3233315.392383
R3:3233315.616629,0.121834,3233315.616702,3233315.738536
R4:3233315.657466,0.067281,3233315.738554,3233315.805835
R5:3233315.690015,0.082600,3233315.805843,3233315.888443
R6:3233315.754916,0.060026,3233315.888450,3233315.948477
R7:3233315.800301,0.206605,3233315.948484,3233316.155090
R8:3233316.104444,0.105280,3233316.155098,3233316.260378
R9:3233316.205431,0.077822,3233316.260386,3233316.338208
R10:3233316.220713,0.023187,3233316.338215,3233316.361402
R11:3233316.222363,0.135879,3233316.361407,3233316.497285
R12:3233316.237130,0.042700,3233316.497294,3233316.539994
R13:3233316.254176,0.009600,3233316.540002,3233316.549602
R14:3233316.268085,0.020519,3233316.549608,3233316.570128
R15:3233316.951589,0.152254,3233316.951661,3233317.103915
R16:3233317.023533,0.029252,3233317.103935,3233317.133187
R17:3233317.118380,0.061912,3233317.133194,3233317.195106
R18:3233317.219874,0.300302,3233317.219954,3233317.520256
R19:3233317.287919,0.122966,3233317.520276,3233317.643242
R20:3233317.322530,0.122442,3233317.643251,3233317.765692
R21:3233317.397349,0.185106,3233317.765699,3233317.950806
R22:3233317.448478,0.036214,3233317.950837,3233317.987051
R23:3233317.481796,0.209469,3233317.987061,3233318.196531
R24:3233317.646687,0.248530,3233318.196545,3233318.445076
R25:3233317.653924,0.007499,3233318.445084,3233318.452583
R26:3233317.728581,0.090695,3233318.452590,3233318.543285
R27:3233317.749933,0.035757,3233318.543292,3233318.579049
R28:3233317.970876,0.001686,3233318.579056,3233318.580742
R29:3233317.977515,0.005431,3233318.580748,3233318.586179
R30:3233318.038712,0.293994,3233318.586186,3233318.880180
R31:3233318.065936,0.158606,3233318.880188,3233319.038794
R32:3233318.298431,0.064667,3233319.038800,3233319.103467
R33:3233318.329452,0.119013,3233319.103473,3233319.222486
R34:3233318.376489,0.091816,3233319.222495,3233319.314311
R35:3233318.448348,0.003339,3233319.314318,3233319.317657
R36:3233318.524200,0.223819,3233319.317664,3233319.541483
R37:3233318.581766,0.106364,3233319.541490,3233319.647855
R38:3233318.848861,0.111788,3233319.647861,3233319.759649
R39:3233318.882316,0.036419,3233319.759657,3233319.796076
R40:3233318.984481,0.015124,3233319.796083,3233319.811207
R41:3233319.100918,0.176741,3233319.811214,3233319.987955
R42:3233319.158926,0.033415,3233319.988027,3233320.021442
R43:3233319.335658,0.186534,3233320.021449,3233320.207984
R44:3233319.361667,0.096708,3233320.207998,3233320.304706
R45:3233319.404808,0.074024,3233320.304715,3233320.378739
R46:3233319.718240,0.163059,3233320.378747,3233320.541805
R47:3233319.825338,0.214719,3233320.541813,3233320.756532
R48:3233319.883247,0.140512,3233320.756541,3233320.897053
R49:3233319.934075,0.201567,3233320.897058,3233321.098625
R50:3233320.049352,0.020260,3233321.098635,3233321.118895
R51:3233320.115232,0.210611,3233321.118903,3233321.329514
R52:3233320.415319,0.177430,3233321.329522,3233321.506951
R53:3233320.431303,0.047129,3233321.506958,3233321.554087
R54:3233320.533777,0.027498,3233321.554095,3233321.581593
R55:3233320.630437,0.030616,3233321.581599,3233321.612214
R56:3233320.784621,0.021360,3233321.612219,3233321.633579
R57:3233320.843873,0.026941,3233321.633586,3233321.660527
R58:3233320.864648,0.044893,3233321.660536,3233321.705428
R59:3233320.945947,0.197754,3233321.705436,3233321.903190
R60:3233320.964538,0.011230,3233321.903228,3233321.914458
R61:3233320.975430,0.119092,3233321.914463,3233322.033555
R62:3233321.043842,0.227786,3233322.033563,3233322.261349
R63:3233321.462177,0.040266,3233322.261357,3233322.301623
R64:3233321.577526,0.038326,3233322.301632,3233322.339958
R65:3233321.716070,0.022026,3233322.339965,3233322.361991
R66:3233321.750913,0.023355,3233322.361995,3233322.385350
R67:3233321.838741,0.109777,3233322.385357,3233322.495134
R68:3233321.855281,0.131443,3233322.495142,3233322.626585
R69:3233321.868696,0.113898,3233322.626592,3233322.740490
R70:3233321.886627,0.249818,3233322.740500,3233322.990318
R71:3233321.894379,0.061436,3233322.990324,3233323.051760
R72:3233321.899781,0.022877,3233323.051768,3233323.074645
R73:3233321.919170,0.109934,3233323.074652,3233323.184587
R74:3233322.079027,0.285300,3233323.184593,3233323.469894
R75:3233322.185909,0.118834,3233323.469901,3233323.588735
R76:3233322.287928,0.012076,3233323.588742,3233323.600818
R77:3233322.297748,0.006788,3233323.600826,3233323.607614
R78:3233322.371192,0.019082,3233323.607621,3233323.626703
R79:3233322.378446,0.142751,3233323.626710,3233323.769460
R80:3233322.440334,0.117406,3233323.769468,3233323.886874
R81:3233322.525511,0.014312,3233323.886881,3233323.901193
R82:3233322.530849,0.019047,3233323.901200,3233323.920248
R83:3233323.726324,0.011172,3233323.920255,3233323.931428
R84:3233323.947018,0.004631,3233323.947093,3233323.951725
R85:3233324.558910,0.006256,3233324.558983,3233324.565240
R86:3233324.763356,0.213737,3233324.763430,3233324.977167
R87:3233324.763780,0.016575,3233324.977187,3233324.993762
R88:3233324.853898,0.041423,3233324.993770,3233325.035193
R89:3233324.871713,0.142759,3233325.035200,3233325.177959
R90:3233325.115934,0.067004,3233325.177967,3233325.244971
R91:3233325.160429,0.050211,3233325.244978,3233325.295189
R92:3233325.247050,0.008747,3233325.295197,3233325.303944
R93:3233325.363335,0.117992,3233325.363403,3233325.481396
R94:3233325.439017,0.404774,3233325.481415,3233325.886189
R95:3233325.475306,0.175048,3233325.886199,3233326.061247
R96:3233325.561343,0.082609,3233326.061254,3233326.143864
R97:3233325.699106,0.114795,3233326.143870,3233326.258665
R98:3233325.702718,0.216275,3233326.258672,3233326.474947
R99:3233325.881844,0.148173,3233326.474954,3233326.623128
R100:3233326.088421,0.113487,3233326.623134,3233326.736621
R101:3233326.476839,0.342518,3233326.736679,3233327.079197
R102:3233326.710529,0.057307,3233327.079206,3233327.136513
R103:3233326.820461,0.147669,3233327.136521,3233327.284190
R104:3233326.838375,0.006677,3233327.284196,3233327.290873
R105:3233327.058155,0.023756,3233327.290877,3233327.314634
R106:3233327.163061,0.021687,3233327.314637,3233327.336324
R107:3233327.262351,0.031755,3233327.336331,3233327.368086
R108:3233327.382961,0.021935,3233327.383033,3233327.404968
R109:3233327.422833,0.083549,3233327.422897,3233327.506447
R110:3233327.430545,0.087755,3233327.506464,3233327.594219
R111:3233327.455866,0.296387,3233327.594228,3233327.890615
R112:3233327.527345,0.065824,3233327.890623,3233327.956448
R113:3233327.560207,0.010019,3233327.956455,3233327.966474
R114:3233327.687247,0.074818,3233327.966481,3233328.041299
R115:3233327.751021,0.049959,3233328.041308,3233328.091267
R116:3233328.039836,0.156817,3233328.091275,3233328.248091
R117:3233328.080843,0.000270,3233328.248101,3233328.248371
R118:3233328.137856,0.076042,3233328.248376,3233328.324418
R119:3233328.180165,0.022203,3233328.324425,3233328.346628
R120:3233328.359292,0.054968,3233328.359372,3233328.414340
R121:3233328.471838,0.030315,3233328.471905,3233328.502221
R122:3233328.537610,0.016798,3233328.537675,3233328.554473
R123:3233328.662125,0.003477,3233328.662196,3233328.665673
R124:3233328.759370,0.099223,3233328.759447,3233328.858670
R125:3233328.812817,0.084593,3233328.858686,3233328.943279
R126:3233328.924889,0.017009,3233328.943286,3233328.960295
R127:3233328.967531,0.082217,3233328.967594,3233329.049811
R128:3233329.061468,0.033171,3233329.061541,3233329.094712
R129:3233329.192679,0.018826,3233329.192750,3233329.211576
R130:3233329.327561,0.096201,3233329.327631,3233329.423832
R131:3233329.581290,0.024785,3233329.581359,3233329.606144
R132:3233329.687177,0.007644,3233329.687253,3233329.694897
R133:3233329.763206,0.174891,3233329.763281,3233329.938172
R134:3233329.793389,0.008202,3233329.938190,3233329.946393
R135:3233329.909269,0.037399,3233329.946400,3233329.983800
R136:3233329.921073,0.074955,3233329.983807,3233330.058763
R137:3233330.007045,0.028398,3233330.058769,3233330.087167
R138:3233330.116878,0.028351,3233330.116941,3233330.145292
R139:3233330.266392,0.017534,3233330.266464,3233330.283998
R140:3233330.306392,0.000299,3233330.306471,3233330.306770
R141:3233330.722212,0.033557,3233330.722231,3233330.755789
R142:3233330.897894,0.047799,3233330.897957,3233330.945756
R143:3233330.918750,0.209371,3233330.945776,3233331.155147
R144:3233331.237291,0.100075,3233331.237354,3233331.337429
R145:3233331.382059,0.096473,3233331.382124,3233331.478598
R146:3233331.394979,0.124036,3233331.478617,3233331.602653
R147:3233331.443409,0.206683,3233331.602662,3233331.809345
R148:3233331.729976,0.018966,3233331.809354,3233331.828319
R149:3233331.927972,0.066181,3233331.928054,3233331.994235
R150:3233332.085801,0.196097,3233332.085870,3233332.281967
R151:3233332.121089,0.172609,3233332.281987,3233332.454596
R152:3233332.361494,0.071541,3233332.454604,3233332.526145
R153:3233332.430445,0.026674,3233332.526152,3233332.552826
R154:3233332.448216,0.056505,3233332.552833,3233332.609338
R155:3233332.648158,0.157508,3233332.648223,3233332.805731
R156:3233332.710463,0.028665,3233332.805746,3233332.834411
R157:3233332.778982,0.096048,3233332.834416,3233332.930464
R158:3233332.798885,0.012477,3233332.930471,3233332.942948
R159:3233332.928921,0.056509,3233332.942955,3233332.999464
R160:3233333.021336,0.107356,3233333.021400,3233333.128756
R161:3233333.203440,0.020915,3233333.203524,3233333.224439
R162:3233333.223073,0.010772,3233333.224456,3233333.235228
R163:3233333.292101,0.037248,3233333.292164,3233333.329413
R164:3233333.306985,0.223892,3233333.329434,3233333.553327
R165:3233333.346265,0.081093,3233333.553334,3233333.634427
R166:3233333.585394,0.142038,3233333.634434,3233333.776471
R167:3233333.766696,0.033994,3233333.776480,3233333.810474
R168:3233333.835234,0.089615,3233333.835302,3233333.924917
R169:3233333.885381,0.024969,3233333.924935,3233333.949904
R170:3233333.979262,0.006276,3233333.979340,3233333.985616
R171:3233333.995664,0.086823,3233333.995728,3233334.082551
R172:3233334.007082,0.028338,3233334.082567,3233334.110906
