operation,avg_run1,tail_run1,avg_run2,tail_run2,avg_increase,tail_increase
IMG_REGISTER,0.000769905106973474,0.0025171597301959967,0.0020406496350782633,0.005290319956839083,0.0012707445281047894,0.002773160226643086
IMG_ROT90CLKW,0.0021455724507678246,0.004178190003149211,0.004378804366738684,0.01445120007265359,0.002233231915970859,0.01027301006950438
IMG_BLUR,0.014913977768824057,0.022167919920757412,0.0278794814867002,0.06379157977178693,0.012965503717876142,0.04162365985102952
IMG_SHARPEN,0.021717317222521224,0.029565039817243816,0.0438883930926436,0.09670243989676239,0.022171075870122375,0.06713740007951857
IMG_VERTEDGES,0.020607330936858122,0.029035200020298368,0.04263837406371566,0.09381053985096514,0.022031043126857535,0.06477533983066677
IMG_HORIZEDGES,0.02013993036308432,0.02811529014259577,0.039384234174968134,0.09274675972294068,0.019244303811883814,0.06463146958034491
