R0:3737298.601509,0.050151,3737298.601622,3737298.651773
R1:3737298.907161,0.160167,3737298.907239,3737299.067406
R2:3737299.161893,0.022009,3737299.161958,3737299.183966
R3:3737299.566304,0.146201,3737299.566380,3737299.712581
R4:3737299.634362,0.080737,3737299.712599,3737299.793336
R5:3737299.688606,0.099121,3737299.793344,3737299.892465
R6:3737299.796768,0.072031,3737299.892471,3737299.964502
R7:3737299.872406,0.247926,3737299.964508,3737300.212434
R8:3737300.379304,0.126336,3737300.379371,3737300.505707
R9:3737300.547612,0.093387,3737300.547677,3737300.641064
R10:3737300.573072,0.027824,3737300.641081,3737300.668905
R11:3737300.575818,0.163054,3737300.668913,3737300.831967
R12:3737300.600426,0.051240,3737300.831972,3737300.883213
R13:3737300.628832,0.011520,3737300.883219,3737300.894739
R14:3737300.652008,0.024623,3737300.894745,3737300.919368
R15:3737301.791179,0.182705,3737301.791252,3737301.973957
R16:3737301.911079,0.035102,3737301.973978,3737302.009081
R17:3737302.069152,0.074294,3737302.069220,3737302.143515
R18:3737302.238304,0.360362,3737302.238370,3737302.598732
R19:3737302.351710,0.147560,3737302.598749,3737302.746309
R20:3737302.409390,0.146930,3737302.746336,3737302.893266
R21:3737302.534083,0.222128,3737302.893275,3737303.115402
R22:3737302.619290,0.043457,3737303.115409,3737303.158867
R23:3737302.674816,0.251363,3737303.158873,3737303.410236
R24:3737302.949626,0.298236,3737303.410243,3737303.708479
R25:3737302.961683,0.008999,3737303.708486,3737303.717485
R26:3737303.086112,0.108835,3737303.717492,3737303.826326
R27:3737303.121693,0.042908,3737303.826333,3737303.869242
R28:3737303.489930,0.002023,3737303.869248,3737303.871271
R29:3737303.500989,0.006517,3737303.871277,3737303.877794
R30:3737303.602982,0.352792,3737303.877802,3737304.230594
R31:3737303.648351,0.190327,3737304.230603,3737304.420930
R32:3737304.035843,0.077601,3737304.420938,3737304.498539
R33:3737304.087541,0.142815,3737304.498544,3737304.641359
R34:3737304.165936,0.110179,3737304.641368,3737304.751547
R35:3737304.285698,0.004007,3737304.751556,3737304.755563
R36:3737304.412112,0.268582,3737304.755569,3737305.024152
R37:3737304.508052,0.127637,3737305.024158,3737305.151796
R38:3737304.953207,0.134145,3737305.151802,3737305.285948
R39:3737305.008962,0.043703,3737305.285953,3737305.329656
R40:3737305.179233,0.018149,3737305.329663,3737305.347812
R41:3737305.373290,0.212089,3737305.373366,3737305.585455
R42:3737305.469965,0.040098,3737305.585473,3737305.625571
